"id","number","title","document","volume","category","publication_status","normative_status","lifecycle_status","implementation_status","verification_status","freeze_version","freeze_date","change_control","pass_criteria_summary","fail_criteria_summary"
"XDV-001","1","Architectural Principles","XDV-001-Architectural-Principles.md","VOLUME I - Foundational Architecture","foundational","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Formal invariants and deterministic behavior are trace-linked and non-contradictory.","Invariants missing/contradictory or deterministic behavior not reproducible."
"XDV-002","2","Formal Domain Model K Q Phi","XDV-002-Formal-Domain-Model-K-Q-Phi.md","VOLUME I - Foundational Architecture","foundational","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Formal invariants and deterministic behavior are trace-linked and non-contradictory.","Invariants missing/contradictory or deterministic behavior not reproducible."
"XDV-003","3","System State Formalization","XDV-003-System-State-Formalization.md","VOLUME I - Foundational Architecture","foundational","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Formal invariants and deterministic behavior are trace-linked and non-contradictory.","Invariants missing/contradictory or deterministic behavior not reproducible."
"XDV-004","4","Execution Semantics","XDV-004-Execution-Semantics.md","VOLUME I - Foundational Architecture","foundational","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Formal invariants and deterministic behavior are trace-linked and non-contradictory.","Invariants missing/contradictory or deterministic behavior not reproducible."
"XDV-005","5","Deterministic Orchestration Model","XDV-005-Deterministic-Orchestration-Model.md","VOLUME I - Foundational Architecture","foundational","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Formal invariants and deterministic behavior are trace-linked and non-contradictory.","Invariants missing/contradictory or deterministic behavior not reproducible."
"XDV-006","6","Reserved","","VOLUME I - Foundational Architecture","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-007","7","Reserved","","VOLUME I - Foundational Architecture","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-008","8","Reserved","","VOLUME I - Foundational Architecture","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-009","9","Reserved","","VOLUME I - Foundational Architecture","reserved","reserved","reserved_unpublished","reserved","not_applicable","not_applicable","0.1-freeze","2026-02-28","locked","ID remains reserved and unpublished with no compliance claim.","Reserved ID treated as implemented/passed without published spec text."
"XDV-010","10","Kernel Architecture","XDV-010-Kernel-Architecture.md","VOLUME II - Kernel Core Specifications","kernel-core","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Kernel subsystem compiles, enforces documented contracts, and passes deterministic tests.","API missing/non-compiling, contract checks bypassed, or deterministic tests missing/failing."
"XDV-011","11","Domain Abstraction Layer DAL","XDV-011-Domain-Abstraction-Layer-DAL.md","VOLUME II - Kernel Core Specifications","kernel-core","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Kernel subsystem compiles, enforces documented contracts, and passes deterministic tests.","API missing/non-compiling, contract checks bypassed, or deterministic tests missing/failing."
"XDV-012","12","Cross Domain Scheduler CDS","XDV-012-Cross-Domain-Scheduler-CDS.md","VOLUME II - Kernel Core Specifications","kernel-core","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Kernel subsystem compiles, enforces documented contracts, and passes deterministic tests.","API missing/non-compiling, contract checks bypassed, or deterministic tests missing/failing."
"XDV-013","13","Unified Memory Fabric UMF","XDV-013-Unified-Memory-Fabric-UMF.md","VOLUME II - Kernel Core Specifications","kernel-core","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Kernel subsystem compiles, enforces documented contracts, and passes deterministic tests.","API missing/non-compiling, contract checks bypassed, or deterministic tests missing/failing."
"XDV-014","14","Domain Hypervisor","XDV-014-Domain-Hypervisor.md","VOLUME II - Kernel Core Specifications","kernel-core","published","frozen_normative","draft_frozen","planned","criteria_defined","0.1-freeze","2026-02-28","locked","Kernel subsystem compiles, enforces documented contracts, and passes deterministic tests.","API missing/non-compiling, contract checks bypassed, or deterministic tests missing/failing."
